"block","term","label","estimate","se","edf"
"beta0_intercept","(Intercept)","(Intercept)",-26.4030268456853,1.05292300002752,0.999999999999995
"beta1_level_shift","condO.L","condO.L",-6.41968717116615,1.48905889977405,0.999999999999995
"f_spline","s(TIME).1","s(TIME).1",-1.80434635411008,1.5503122809154,0.950327943040589
"f_spline","s(TIME).2","s(TIME).2",4.45131770020157,3.10730984116452,0.936337848055111
"f_spline","s(TIME).3","s(TIME).3",-2.24824603280238,1.09581106497932,0.748849066022854
"f_spline","s(TIME).4","s(TIME).4",-4.62234806966508,1.99219870107326,0.673126330821396
"f_spline","s(TIME).5","s(TIME).5",-0.346743007814375,0.844234174479338,0.698955633826814
"f_spline","s(TIME).6","s(TIME).6",3.32575241907102,1.66355171371633,0.840038284401735
"f_spline","s(TIME).7","s(TIME).7",0.869321802656092,0.612703958518799,0.844398193278238
"f_spline","s(TIME).8","s(TIME).8",15.9075162432905,5.09151923048073,1.37071680068973
"f_spline","s(TIME).9","s(TIME).9",-15.5786287927291,2.12654099291105,1.00000000000056
"g_difference_spline","s(TIME):condOin vivo.1","s(TIME):condOin vivo.1",6.07091375436892,1.55578832224781,0.974336587583986
"g_difference_spline","s(TIME):condOin vivo.2","s(TIME):condOin vivo.2",11.4438208675745,3.12554731518661,0.967526263835547
"g_difference_spline","s(TIME):condOin vivo.3","s(TIME):condOin vivo.3",-1.14485886930054,1.0997715765523,0.870662042546465
"g_difference_spline","s(TIME):condOin vivo.4","s(TIME):condOin vivo.4",-6.06267114612551,2.00540076202582,0.829414875090225
"g_difference_spline","s(TIME):condOin vivo.5","s(TIME):condOin vivo.5",-2.57545775113991,0.849382191657653,0.842863503828652
"g_difference_spline","s(TIME):condOin vivo.6","s(TIME):condOin vivo.6",5.27939304539624,1.67753809295935,0.907353696349791
"g_difference_spline","s(TIME):condOin vivo.7","s(TIME):condOin vivo.7",1.49788000800082,0.620241140905454,0.912750497644608
"g_difference_spline","s(TIME):condOin vivo.8","s(TIME):condOin vivo.8",9.32831608793946,5.12028294797426,1.19250043370315
"g_difference_spline","s(TIME):condOin vivo.9","s(TIME):condOin vivo.9",-1.36125926314857,2.13842688783206,0.999999999998371
"b_i_shoulder_re","s(ID).1","Begon et al._1.0",-7.57606197081023,1.5138763080489,0.942388412973904
"b_i_shoulder_re","s(ID).2","Begon et al._2.0",-1.83082287596534,1.51403905786312,0.942376025199508
"b_i_shoulder_re","s(ID).3","Bourne et al._1.0",10.0986299022313,1.59669445630415,0.935912594658176
"b_i_shoulder_re","s(ID).4","Bourne et al._2.0",1.33934734794704,1.59825883224402,0.935786952700414
"b_i_shoulder_re","s(ID).5","Bourne et al._3.0",-0.431842676330989,1.59780834006472,0.935823146335916
"b_i_shoulder_re","s(ID).6","Bourne et al._4.0",-10.5832531293937,1.59577107322764,0.935986697895537
"b_i_shoulder_re","s(ID).7","Bourne et al._5.0",-3.64742102426474,1.59533330466016,0.936021814671683
"b_i_shoulder_re","s(ID).8","Bourne et al._6.0",2.82314551873854,1.59824375515851,0.935788164195096
"b_i_shoulder_re","s(ID).9","Bourne et al._7.0",-1.56069453931533,1.59643281105397,0.935933596536482
"b_i_shoulder_re","s(ID).10","Chu et al._",-1.81608230292666,1.63553847940966,0.932756457202955
"b_i_shoulder_re","s(ID).11","Fung et al._",-2.46468119652344,2.05483925415503,0.893858612310869
"b_i_shoulder_re","s(ID).12","Henninger et al._1.0",-0.989282905033535,1.55352161627245,0.939331444414203
"b_i_shoulder_re","s(ID).13","Henninger et al._10.0",-9.40312192830632,1.50728528864796,0.94288897234888
"b_i_shoulder_re","s(ID).14","Henninger et al._11.0",6.28897317523411,1.53600836230408,0.94069159913569
"b_i_shoulder_re","s(ID).15","Henninger et al._12.0",2.79506001236403,1.55715044599531,0.939047685265257
"b_i_shoulder_re","s(ID).16","Henninger et al._13.0",7.95473894242407,1.54534884144492,0.939968096270231
"b_i_shoulder_re","s(ID).17","Henninger et al._14.0",7.55376315566056,1.56336331773097,0.938560327888172
"b_i_shoulder_re","s(ID).18","Henninger et al._15.0",0.343608260640672,1.49559114089174,0.943771716994622
"b_i_shoulder_re","s(ID).19","Henninger et al._16.0",10.4469258737456,1.53057269402355,0.941110620771605
"b_i_shoulder_re","s(ID).20","Henninger et al._17.0",-2.14337057878122,1.56263805337034,0.938617319974435
"b_i_shoulder_re","s(ID).21","Henninger et al._18.0",-1.05922694220841,1.55596957474103,0.939140097073731
"b_i_shoulder_re","s(ID).22","Henninger et al._19.0",5.42501975376125,1.52078211556951,0.941861603789003
