"parameter","value","note"
"lambda[s(TIME)]",0.00865625336926372,"smoothing parameter (estimated by fREML)"
"lambda[s(TIME):condOin vivo]",0.00440241391505417,"smoothing parameter (estimated by fREML)"
"lambda[s(ID)]",0.0386320438846729,"smoothing parameter (estimated by fREML)"
"sigma_b",6.30718359407591,"sd of the shoulder random intercept b_i"
"sigma_residual",1.23967920389253,"residual sd of eps_ij (scale^0.5)"
"rho",0.995554134393539,"AR(1) correlation — FIXED, not estimated"
"edf_total",59.4934250520882,"effective degrees of freedom used"
"n_coefficients",64,"length of coef(m_ar)"
"n_observations",22102,"rows fitted"
"BIC",-31453.5523024395,"spline + AR(1)"
