"joint","motion","dof","n_rows","n_units","n_ex","n_in","st_ex","st_in","mode","x_lo","x_hi","knots","n_fitted","converged","BIC","level_shift","level_wald","joint_chi2","joint_df","joint_p","shape_chi2","shape_df","shape_p","wald_pass_ref","wald_total_ref","wald_pass_diff","wald_total_diff","sym_diff","diff_mean_signed","diff_mean_abs","diff_max_abs","diff_lo_curve","diff_hi_curve","sig_frac_x","diff_mean_lo","diff_mean_hi","resid_sd","kurtosis","seconds","note","joint_p_fdr","shape_p_fdr"
"sternoclavicular","frontal plane elevation",1,18816,17,13,4,4,3,"compare",20.5276595744681,119.991832290363,"51.2/80.8/104",1246,TRUE,551.825432003527,-2.6134249308755,-1.02145556456523,2.48182826630961,5,0.779229249196713,1.37166267720554,4,0.84910491930382,5,5,0,5,"○○○○○",-3.92347026095234,3.92347026095234,4.84642058158499,-4.84642058158499,-1.62465085147291,0,-10.3287201629924,2.48177964108767,0.22941485026166,9.48206640141142,15.0692381858826,"",0.779229249196713,0.890015275151505
"acromioclavicular","frontal plane elevation",1,18629,14,10,4,1,3,"compare",26.3857676315069,119.94871339174,"53/82.9/105.1",1109,TRUE,1266.56408501137,3.01912656732761,0.870835054888564,9.8140213698873,5,0.0806796740564611,9.33527642169989,4,0.0532442361703209,3,5,0,5,"○○○○○",2.23798365969224,2.23798365969224,4.21117110982141,0.113629188214337,4.21117110982141,0,-5.90929801776601,10.3852653371505,0.340346387876105,5.7265787121194,6.13437151908875,"",0.10240112476397,0.0732108247341912
"scapulothoracic","frontal plane elevation",1,22102,44,13,31,4,5,"compare",20.1276595744681,138.936170212766,"49.4/83.5/111.7",3002,TRUE,3427.44759086726,-8.66780101280395,-2.60839907680752,17.8323524474388,5,0.00316402094326962,11.1517200577796,4,0.0249107795258363,2,5,2,5,"●○●○○",-7.37026061923424,7.37026061923424,9.04563225948829,-9.04563225948829,-4.46152902641891,0.156,-15.5688905061741,0.828369267705606,0.308167600411479,3.5037578747432,16.6748194694519,"",0.00497203291085226,0.0373661692887545
"glenohumeral","frontal plane elevation",1,21560,33,10,23,1,3,"compare",26.3857676315069,125.312446942158,"51.7/81.4/106.4",2163,TRUE,6284.65437294598,31.5614831536162,1.74501515531695,22.6225005714966,5,0.000398520785055216,19.6399835258922,4,0.000588110177564308,2,5,2,5,"○●●○○",0.0192828092344697,8.67731098553255,20.4285937441428,-13.2229291957633,20.4285937441428,0,-40.6733921468552,40.7119577653241,0.708636005206184,2.89008994678701,19.2910625934601,"",0.000692167679306428,0.00107820199220123
"sternoclavicular","scapular plane elevation",1,280,26,1,25,1,2,"single",30,134.851063829787,"45.8/75/105",240,TRUE,793.916049360421,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154759196742967,5.69574915170762,5.7755434513092,"",NA,NA
"acromioclavicular","scapular plane elevation",1,32,2,1,1,1,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (1 ex / 1 in)",NA,NA
"scapulothoracic","scapular plane elevation",1,3161,51,2,49,2,7,"single",10.1999507897671,158.29486455993,"44.1/90/130.7",2311,TRUE,4448.92636984231,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410799047287255,4.6388590219435,16.3550689220428,"",NA,NA
"glenohumeral","scapular plane elevation",1,2831,21,0,21,0,2,"single",10.1999507897671,158.29486455993,"41.4/93.4/133.4",1981,TRUE,10450.8101562214,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7730736864343,8.91968305382601,14.9920792579651,"",NA,NA
"sternoclavicular","sagittal plane elevation",1,19360,16,13,3,4,2,"compare",20,120,"42.5/66.5/97.1",1156,TRUE,827.932004629282,2.96912023466013,0.707504675901332,3.66102517334907,5,0.599174542008624,3.15618429875098,4,0.532036862846489,5,5,0,5,"○○○○○",3.82531455232783,3.82531455232783,7.72649480616968,2.17857281693373,7.72649480616968,0,-5.91058672387528,13.5612158285309,0.25420527334649,0.56112296383095,6.56510758399963,"",0.617898746446394,0.605421257721867
"acromioclavicular","sagittal plane elevation",1,19168,13,10,3,1,2,"compare",20,120,"42.3/66.7/97.6",1024,TRUE,214.322209733361,5.97404430575835,1.70121654522862,12.3498175284283,5,0.030296470657936,9.40735910539918,4,0.0516860142968328,4,5,0,5,"○○○○○",7.28793172293217,7.28793172293217,9.41624055476572,6.02083537172546,9.41624055476572,0.304,-0.0263346197950298,14.6021980656594,0.203415670167986,2.73752595473077,5.83870053291321,"",0.0399913412684755,0.0732108247341912
"scapulothoracic","sagittal plane elevation",1,21807,38,13,25,4,5,"compare",19.4468085106383,144.042553191489,"47.5/84.8/117.5",2742,TRUE,3576.92616456562,2.71879629562605,0.878220813714177,21.9047462080693,5,0.00054588400833892,21.0928428023357,4,0.000303525221855177,3,5,3,5,"○○●●●",6.85711049974821,6.85711049974821,10.8722680138222,3.52254919833776,10.8722680138222,0.44,0.268998401916233,13.4452225975802,0.347271813172721,13.4670827387755,17.7011291980743,"",0.000900708613759219,0.000589196018895343
"glenohumeral","sagittal plane elevation",1,21680,34,10,24,1,4,"compare",19.4352977105848,135.502665844067,"45/78.5/111.3",2406,TRUE,12100.0016623043,145.096794853604,7.82599792253548,265.250353600533,5,2.92969825288766e-55,205.889552635167,4,2.03448444400168e-43,5,5,5,5,"●●●●●",15.9343723005921,17.1254732567081,105.629981974249,-3.4979352328181,105.629981974249,0.144,-25.7408672817991,57.6096118829834,2.26298324920152,22.3153110710195,22.8230600357056,"",4.83400211726463e-54,3.35689933260276e-42
"sternoclavicular","horizontal flexion",1,13064,10,10,0,2,0,"single",-100.797346952807,-0.165391774641805,"-75.6/-50.4/-26.1",863,TRUE,39.8645059485875,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192175924156184,4.57310674448091,6.18795490264893,"",NA,NA
"acromioclavicular","horizontal flexion",1,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,-126.590982471252,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175540118457828,2.40845322324044,6.97427988052368,"",NA,NA
"scapulothoracic","horizontal flexion",1,13485,17,10,7,2,1,"compare",-100.806402522268,-0.0258220878991011,"-74.7/-49.9/-25.6",1246,TRUE,515.246787170093,-1.80390168183592,-0.462917567949324,36.8015825883414,5,6.56381706008415e-07,36.5668682119053,4,2.21202400518692e-07,5,5,3,5,"○●●●○",-12.1376215188756,12.1376215188756,18.7458332181736,-18.7458332181736,-3.05887021081848,0.596,-22.0120965225259,-2.26314651522534,0.219464935871787,13.5387996494175,16.3653340339661,"",1.54718544987698e-06,5.21405658365487e-07
"glenohumeral","horizontal flexion",1,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,493.519653880852,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247871785156349,10.1049526102101,7.7467634677887,"",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",1,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,70.4633092973826,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199305435217203,11.7096575746754,4.87988209724426,"",NA,NA
"acromioclavicular","internal-external rotation 0 degree-abducted",1,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,-875.849370786749,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128435565077321,6.82533147332595,8.1168520450592,"",NA,NA
"scapulothoracic","internal-external rotation 0 degree-abducted",1,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,5535.44967684461,16.0560537288712,3.31839766015174,55.6715644578802,5,9.49573229254639e-11,54.7718343720006,4,3.62702221574112e-11,4,5,5,5,"●●●●●",-7.90937720018223,9.6778714959079,31.6524768498912,-31.6524768498912,6.70150856628199,0.34,-19.4162370026438,3.59748260227929,0.621278619533986,20.0153723442861,12.8787517547607,"",2.84871968776392e-10,1.08810666472234e-10
"glenohumeral","internal-external rotation 0 degree-abducted",1,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,12900.7375598815,22.9640629769538,0.698520526989475,3.67784906331853,5,0.596663778944916,2.66788972903709,4,0.614845074879258,0,5,0,5,"○○○○○",48.9171590878814,48.9171590878814,61.8530677147457,6.48039241570982,61.8530677147457,0,-21.1895703939357,119.023888569698,2.8797177293221,20.8460349237734,27.4072351455688,"",0.617898746446394,0.676329582367184
"sternoclavicular","internal-external rotation 90 degree-abducted",1,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"acromioclavicular","internal-external rotation 90 degree-abducted",1,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"scapulothoracic","internal-external rotation 90 degree-abducted",1,2833,24,0,24,0,4,"single",-43.9034249509451,103.16434324727,"-1/31.4/69",2135,TRUE,2393.01395982058,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344918436620223,2.61607379229263,11.642404794693,"",NA,NA
"glenohumeral","internal-external rotation 90 degree-abducted",1,2807,22,0,22,0,2,"single",-43.9034249509451,103.16434324727,"-0.9/31.8/69.5",2109,TRUE,5263.43228288841,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687631979429124,7.08504379548551,11.2093377113342,"",NA,NA
"sternoclavicular","frontal plane elevation",2,18816,17,13,4,4,3,"compare",20.5276595744681,119.991832290363,"51.2/80.8/104",1246,TRUE,1003.69408625978,-1.56979167512429,-0.36598189971537,17.6710853245927,5,0.00338817029755329,17.3370722653817,4,0.00166212360008226,5,5,1,5,"○●○○○",-6.16696625884395,6.16696625884395,7.79817099957243,-7.79817099957243,-2.35821084210597,0,-15.6130133744195,3.27908085673163,0.277811258670285,51.4994691966632,12.7325971126556,"",0.00508225544632993,0.00288684625277446
"acromioclavicular","frontal plane elevation",2,18629,14,10,4,1,3,"compare",26.3857676315069,119.94871339174,"53/82.9/105.1",1109,TRUE,1613.02472540147,-6.56839477785075,-1.22634820089272,61.6973747121356,5,5.41683173943319e-12,58.5968593438624,4,5.71839018253245e-12,3,5,4,5,"○●●●●",-18.3249172132991,18.3249172132991,34.8261692268944,-34.8261692268944,-10.1987964089912,0.56,-32.1734142270775,-4.47642019952075,0.386922630413809,30.5585640020568,6.95540928840637,"",1.98617163779217e-11,2.09674306692856e-11
"scapulothoracic","frontal plane elevation",2,22102,44,13,31,4,5,"compare",20.1276595744681,138.936170212766,"49.4/83.5/111.7",3002,TRUE,4363.93274936914,-1.13104323147843,-0.422675415801891,92.987959995587,5,1.58239316260036e-18,92.5328907447548,4,3.81321260823523e-19,4,5,2,5,"○●○○●",-10.7798917307291,10.902629269729,16.7975027154046,-16.7975027154046,2.61780226739314,0.752,-17.2379211719706,-4.32186228948761,0.370337328961269,4.21331167543174,16.3067798614502,"",8.70316239430196e-18,2.09726693452938e-18
"glenohumeral","frontal plane elevation",2,21560,33,10,23,1,3,"compare",26.3857676315069,125.312446942158,"51.7/81.4/106.4",2163,TRUE,2273.32540104149,-2.70219298344746,-0.783677623078534,77.5506867152926,5,2.72878395525675e-15,77.1025078232121,4,7.15423847282304e-16,4,5,3,5,"○●●○●",10.7503651695919,10.7503651695919,15.7763072591384,2.41058838391388,15.7763072591384,0.676,2.97589688675217,18.5248334524317,0.293610659437074,3.57799494977024,22.7321906089783,"",1.2864267217639e-14,3.37271242290229e-15
"sternoclavicular","scapular plane elevation",2,280,26,1,25,1,2,"single",30,134.851063829787,"45.8/75/105",240,TRUE,446.662002692187,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0509936175527071,29.7723975037835,4.8999195098877,"",NA,NA
"acromioclavicular","scapular plane elevation",2,32,2,1,1,1,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (1 ex / 1 in)",NA,NA
"scapulothoracic","scapular plane elevation",2,3161,51,2,49,2,7,"single",10.1999507897671,158.29486455993,"44.1/90/130.7",2311,TRUE,3723.15974959226,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363505912083993,4.31337260202187,18.1437776088715,"",NA,NA
"glenohumeral","scapular plane elevation",2,2831,21,0,21,0,2,"single",10.1999507897671,158.29486455993,"41.4/93.4/133.4",1981,TRUE,3583.90276975523,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478268938696507,5.96315663834172,16.3718101978302,"",NA,NA
"sternoclavicular","sagittal plane elevation",2,19360,16,13,3,4,2,"compare",20,120,"42.5/66.5/97.1",1156,TRUE,475.474814274157,-6.10114876005314,-1.28027775186455,57.2128509719317,5,4.57102722426829e-11,55.406327384962,4,2.67053727919485e-11,5,5,3,5,"○●○●●",-6.51176268550818,6.51176268550818,8.49615419322455,-8.49615419322455,-0.658889953890571,0,-16.1647514363535,3.14122606533713,0.226789106711925,7.70377572824815,9.98734927177429,"",1.50843898400854e-10,8.81277302134301e-11
"acromioclavicular","sagittal plane elevation",2,19168,13,10,3,1,2,"compare",20,120,"42.3/66.7/97.6",1024,TRUE,805.002187685797,-11.1870947720062,-1.91953580565875,167.135860754036,5,2.97922984811692e-34,163.086142612417,4,3.18401216657155e-34,4,5,4,5,"○●●●●",-20.8825293236901,20.8825293236901,31.1233651982658,-31.1233651982658,-11.375862674601,0.996,-32.5574404717779,-9.2076181756023,0.276905876201798,1.31663792816921,6.96639013290405,"",2.45786462469646e-33,2.62681003742153e-33
"scapulothoracic","sagittal plane elevation",2,21807,38,13,25,4,5,"compare",19.4468085106383,144.042553191489,"47.5/84.8/117.5",2742,TRUE,2738.8675185505,-0.596809527213573,-0.178164862258576,106.713937836545,5,2.02611579925144e-21,106.663307556588,4,3.7446391874216e-22,4,5,2,5,"○●○●○",-8.90899357442045,8.90899357442045,14.1148907546602,-14.1148907546602,-2.70764176011301,0.556,-16.2229384550713,-1.59504869376957,0.29636264157322,1.64192571095716,16.6363389492035,"",1.33723642750595e-20,2.47146186369826e-21
"glenohumeral","sagittal plane elevation",2,21680,34,10,24,1,4,"compare",19.4352977105848,135.502665844067,"45/78.5/111.3",2406,TRUE,3462.4792470554,-20.87555738582,-7.0161767962131,258.345391669358,5,8.89537419638001e-54,210.606389621145,4,1.96765921538944e-44,4,5,4,5,"●●●●○",3.77252052841854,7.10339370909376,14.9294068973894,-14.9294068973894,9.79712305112452,0.5,-3.43322006898136,10.9782611258184,0.36603613534089,3.55851610990328,17.0052063465118,"",9.78491161601801e-53,6.49327541078515e-43
"sternoclavicular","horizontal flexion",2,13064,10,10,0,2,0,"single",-100.797346952807,-0.165391774641805,"-75.6/-50.4/-26.1",863,TRUE,-346.468959111719,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153387537330011,2.28479453948987,5.04821491241455,"",NA,NA
